"Numeración","Puesto Institucional ","Régimen laboral al que pertenece ","Número de partida presupuestaria","Grado jerárquico o escala al que pertenece el puesto","Remuneración mensual unificada","Remuneración unificada (anual)","Décimo Tercera Remuneración","Décima Cuarta Remuneración","Horas suplementarias y extraordinarias","Encargos y subrogaciones","Total ingresos adicionales","","","","","","","","","","","",""
"68","ALBAÑIL","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","578","6936","48.17","35.42","0","0","83.59","","","","","","","","","","","",""
"69","PEON","CODIGO DE TRABAJO","3.06.01.001.001.7.1.01.06","","561","6732","54.55","35.42","93.6","0","183.57","","","","","","","","","","","",""
"70","CHOFER DE VEHICULOS PESADOS","CODIGO DE TRABAJO","3.03.02.001.001.7.1.01.06","","637","7644","66.55","35.42","161.65","0","263.62","","","","","","","","","","","",""
"71","JORNALERO","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","561","6732","46.75","35.42","0","0","82.17","","","","","","","","","","","",""
"72","CHOFER","CODIGO DE TRABAJO","3.02.01.001.001.5.1.01.06","","596","7152","69.2","35.42","234.36","0","338.98","","","","","","","","","","","",""
"73","INSPECTOR","LOSEP","3.02.01.001.001.5.1.01.05","Servidor Público de Apoyo 3","675","8100","56.25","35.42","0","0","91.67","","","","","","","","","","","",""
"74","INGENIERA EN ELECTRÓNICA Y TELECOMUNICACIONES","LOSEP","1.04.01.001.001.5.1.01.05","Servidor Público 1","817","8814.87","68.08","35.42","0","0","103.5","","","","","","","","","","","",""
"75","INGENIERO GEÓLOGO 2","LOSEP-SOC","3.04.06.002.001.7.1.05.10","Servidor Público 2","901","10812","75.08","35.42","0","0","110.5","","","","","","","","","","","",""
"76","AGENTE CIVIL DE TRANSITO 1°","LOSEP","4.01.01.001.002.7.1.01.05","Servidor Público de Apoyo 4","733","8796","61.08","35.42","0","0","96.5","","","","","","","","","","","",""
"77","INSPECTOR NOTIFICADOR","CODIGO DE TRABAJO","4.01.03.001.001.7.1.01.06","","561","2636.7","47.57","35.42","9.83","0","92.82","","","","","","","","","","","",""
"78","JORNALERO","CODIGO DE TRABAJO","3.03.01.001.001.7.1.01.06","","561","6732","54.97","35.42","98.65","0","189.04","","","","","","","","","","","",""
